cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
646,EDC0165,0382,教育經濟學研究,教育碩,選,3,◎課程不開放上修,四 2-4,本部 教801,余穎麒,110,1,30,10,2,是,EM00,""
647,EDC0175,0383,高等教育哲學,教育碩,選,3,◎課程不開放上修,四 6-8,本部 教803,洪仁進,110,1,30,10,0,"",EM00,""
648,EDC0192,0384,教育行政哲學研究,教育碩,選,3,◎課程不開放上修,三 9-A,本部 教803,黃乃熒,110,1,30,10,0,"",EM00,""
649,EDC0194,0385,教育行政倫理研究,教育碩,選,3,◎課程不開放上修,三 6-8,本部 教803,黃乃熒,110,1,30,10,0,"",EM00,""
650,EDC0195,0386,教育史研究方法,教育碩,選,3,◎課程不開放上修,五 7-9,本部 教804,李玉馨,110,1,30,10,0,"",EM00,""
651,EDC0196,0387,臺灣教育史研究,教育碩,選,3,◎課程不開放上修,一 2-4,本部 教803,未定,110,1,30,10,0,"",EM00,授課教師:林玉体教授
652,EDC0197,0388,情意教育研究,教育碩,選,3,◎課程不開放上修,三 6-8,本部 教801,林建福,110,1,30,10,0,"",EM00,""
653,EDC0200,0389,西方新教育理論與實踐專題研究,教育碩,選,3,◎課程不開放上修,三 2-4,本部 教801,劉蔚之,110,1,30,10,0,"",EM00,""
654,EDC0209,0390,性別關係與教育研究,教育碩,選,3,◎課程不開放上修,三 6-8,本部 教802,陳佩英 張宜君,110,1,30,10,0,"",EM00,""
655,EDC0214,0391,文化社會學與教育研究,教育碩,選,3,◎課程不開放上修,三 9-A,本部 教801,鄭英傑,110,1,30,10,0,"",EM00,""
656,EDC0215,0392,全球化與教育研究,教育碩,選,3,◎課程不開放上修,四 6-8,本部 教801,張珍瑋,110,1,30,10,0,"",EM00,""
657,EDC0218,0393,教育社會學新興議題研究,教育碩,選,3,◎課程不開放上修,五 6-8,本部 教803,未定,110,1,30,10,0,"",EM00,授課教師:張建成教授
658,EDC8001,0394,教育政策新興議題研究,教育碩,選,3,◎課程不開放上修,一 9-A,本部 教803,王麗雲,110,1,30,10,0,"",EM00,""
659,EDC8007,0395,師生互動研究,教育碩,選,3,◎課程開放上修,一 6-8,本部 教801,許殷宏,110,1,30,10,0,"",EM00,""
660,EDC8012,0396,亞里斯多德主義與品德教育研究,教育碩,選,3,◎課程不開放上修,一 6-8,本部 教813,陳伊琳,110,1,30,10,0,"",EM00,""
661,EDD0001,0340,教育學方法論,教育博,選,3,◎課程不開放上修,四 9-A,本部 教9樓綜合教室,楊深坑 方永泉,110,1,30,10,0,"",ED00,""
662,EDD0115,0341,教育美學,教育博,選,3,◎課程不開放上修,五 2-4,本部 教803,林逢祺,110,1,30,10,0,"",ED00,""
663,EDD0159,0342,教育行政專題研究,教育博,必,3,◎課程不開放上修,四 9-A,本部 教803,陳玉娟 黃乃熒 許添明,110,1,30,10,0,"",ED00,""
664,EDD0160,0343,英語名著選讀與批判研究,教育博,選,3,◎課程不開放上修,二 7-9,本部 教813,甄曉蘭,110,1,30,10,0,是,ED00,""
665,EDD0167,0344,教育學術論文寫作與發表（一）,教育博,必,3,◎課程不開放上修,二 2-4,本部 教813,甄曉蘭 余穎麒,110,1,30,10,0,是,ED00,""
666,PCU0003,0685,發展心理學,心輔系,必,3,◎必須先修過【0AUG402  心理學】、【PCU0152  普通心理學（一）】、【PCU0153  普通心理學（二）】、【SOU0007  心理學】、【SPU6008  普通心理學（一）】、【SPU6009  普通心理學（二）】其中一門,二 6-8,本部 教602,李俊仁,110,1,50,10,0,"",EU01,""
667,PCU0011,0686,團體輔導,心輔系,必,3,◎必須先修過【PCU0130  諮商理論】、【PCU0131  諮商技術】,二 A-C,本部 教513,未定,110,1,30,10,0,"",EU01,""
668,PCU0014,0687,人格心理學,心輔系,必,3,◎必須先修過【0AUG402  心理學】、【PCU0152  普通心理學（一）】、【PCU0153  普通心理學（二）】、【SOU0007  心理學】、【SPU6008  普通心理學（一）】、【SPU6009  普通心理學（二）】其中一門,二 2-4,本部 教育學院第1會議室,未定,110,1,50,10,3,"",EU01,""
669,PCU0114,0688,教育心理學,心輔系,必,3,◎必須先修過【0AUG402  心理學】、【PCU0152  普通心理學（一）】、【PCU0153  普通心理學（二）】、【SPU6008  普通心理學（一）】、【SPU6009  普通心理學（二）】、【SOU0007  心理學】其中一門,三 6-8,本部 教202會議廳,蘇宜芬,110,1,60,20,0,"",EU01,""
670,PCU0117,0689,輔導原理與實務,心輔系,必,3,"",四 1-3,本部 教602,未定,110,1,50,10,0,"",EU01,""
671,PCU0127,0690,生命教育,心輔系,選,2,"",四 A-B,本部 教513,未定,110,1,50,10,0,"",EU01,""
672,PCU0131,0691,諮商技術,心輔系,必,3,◎必須先修過【PCU0130  諮商理論】,三 6-8,本部 教育學院第2會議室-大,未定,110,1,30,10,1,"",EU01,蕭景容
673,PCU0143,0692,創造力心理學,心輔系,選,2,"",一 8-9,本部 教511,未定,110,1,50,10,2,"",EU01,""
674,00UP001,0693,體育,心輔系,必,1,◎限大一修習    允許重複修,四 6-7,本部 操場一,未定,110,1,50,10,0,"",EU01,""
675,PCU0117,0694,輔導原理與實務,心輔系,必,3,◎限本系(含雙主修)修習◎限大一修習,四 8-10,本部 教513,姜兆眉,110,1,50,10,0,"",EU01,""
676,PCU0143,0695,創造力心理學,心輔系,選,2,◎限本系(含雙主修)修習◎限大一修習,一 6-7,本部 教513,張雨霖,110,1,50,10,5,"",EU01,""
677,PCU0152,0696,普通心理學（一）,心輔系,必,2,◎限本系(含雙主修)修習◎限大一修習,一 3-4,本部 教511,許禕芳,110,1,50,10,0,"",EU01,""
678,PCU0005,0697,實驗心理學,心輔系,必,3,◎限本系(含雙主修)修習◎必須先修過【E0U0002  教育統計學（二）】◎必須先修過【E0U0001  教育統計學（一）】、【05UG020  統計學】其中一門,三 7-10,本部 教511,李俊仁,110,1,50,10,0,"",EU01,""
679,PCU0014,0698,人格心理學,心輔系,必,3,◎限本系(含雙主修)修習 ◎必須先修過【0AUG402  心理學】、【PCU0152  普通心理學（一）】、【PCU0153  普通心理學（二）】、【SOU0007  心理學】、【SPU6008  普通心理學（一）】、【SPU6009  普通心理學（二）】其中一門,二 2-4,本部 教511,林旻沛,110,1,50,10,0,"",EU01,""
680,PCU0032,0699,社會心理學,心輔系,選,2,"",四 9-10,本部 教511,未定,110,1,50,10,0,"",EU01,""
681,PCU0086,0700,心理與教育測驗,心輔系,必,3,◎限本系(含雙主修)修習,一 2-4,本部 教513,陳柏熹,110,1,50,10,3,"",EU01,""
682,PCU0101,0701,青少年心理學,心輔系,選,2,◎限本系(含雙主修)修習,四 3-4,本部 教513,陳慧娟,110,1,50,10,0,"",EU01,""
683,PCU0170,0702,諮詢理論與實務,心輔系,選,2,◎限本系(含雙主修)修習 ◎必須先修過【PCU0117  輔導原理與實務】、【00UE008  輔導原理與實務（教）】其中一門,一 A-B,本部 教103,未定,110,1,60,20,0,"",EU01,""
684,PCU0009,0703,生涯輔導,心輔系,選,2,◎限本系(含雙主修)修習,一 6-7,本部 教602,王玉珍,110,1,50,10,3,"",EU01,""
685,PCU0036,0704,認知心理學,心輔系,選,3,◎限本系(含雙主修)修習,一 2-4,本部 教602,吳昭容,110,1,50,10,0,"",EU01,""
686,PCU0039,0705,婚姻與家庭,心輔系,選,2,◎限本系(含雙主修)修習,五 3-4,本部 教511,未定,110,1,50,10,0,"",EU01,""
687,PCU0131,0706,諮商技術,心輔系,必,3,◎限本系(含雙主修)修習◎必須先修過【PCU0130  諮商理論】,三 6-8,本部 教600,王櫻芬,110,1,30,10,0,"",EU01,""
688,PCU0131,0707,諮商技術,心輔系,必,3,◎限本系(含雙主修)修習◎必須先修過【PCU0130  諮商理論】,三 6-8,本部 教602,張世華,110,1,30,10,0,"",EU01,""
689,PCU0174,0708,人力資源運用與管理,心輔系,選,2,◎限本系(含雙主修)修習,三 A-B,本部 教103,未定,110,1,60,20,3,"",EU01,""
690,PCU0175,0709,綜合活動領域教學與評量,心輔系,選,2,"",三 9-10,本部 教600,張雨霖,110,1,50,10,0,"",EU01,""
691,PCU0111,0710,危機處理,心輔系,選,2,◎限本系(含雙主修)修習,一 3-4,本部 教103,未定,110,1,60,20,5,"",EU01,""
692,PCU0138,0711,生涯規劃課程設計與實施,心輔系,選,2,◎必須先修過(也可以同時修)【PCU0009  生涯輔導】,一 6-7,本部 教511,未定,110,1,50,10,0,"",EU01,""
693,PCU0146,0712,學校輔導工作,心輔系,選,2,"",四 3-4,本部 教511,王麗斐,110,1,50,10,0,"",EU01,""
694,PCU0147,0713,諮商倫理,心輔系,選,2,◎限本系(含雙主修)修習◎必須先修過【PCU0130  諮商理論】,二 6-7,本部 教513,陳秀蓉,110,1,50,10,0,"",EU01,""
695,PCU0150,0714,學校諮商實習（一）,心輔系,選,2,◎限本系(含雙主修)修習◎必須先修過【PCU0130  諮商理論】、【PCU0131  諮商技術】、【PCU0011  團體輔導】◎必須先修過【PCU0117  輔導原理與實務】、【00UE008  輔導原理與實務（教）】其中一門,二 9-10,"本部 教602, 五 A-B 本部 教602",張世華,110,1,50,10,0,"",EU01,實地學習時數15小時。
696,PCU0150,0715,學校諮商實習（一）,心輔系,選,2,◎限本系(含雙主修)修習◎必須先修過【PCU0130  諮商理論】、【PCU0131  諮商技術】、【PCU0011  團體輔導】◎必須先修過【PCU0117  輔導原理與實務】、【00UE008  輔導原理與實務（教）】其中一門,二 9-10,"本部 教600, 五 A-B 本部 教600",林旻沛,110,1,50,10,0,"",EU01,實地學習時數15小時。
697,PCU0165,0716,教育心理與輔導專題實作,心輔系,選,2,◎限本系(含雙主修)修習,二 3-4,本部 教600,吳昭容,110,1,50,10,0,"",EU01,""
698,PCUE011,0717,輔導活動教學實習（一）（教）,心輔系,選,2,◎必須先修過【PCU0130  諮商理論】、【PCU0131  諮商技術】、【PCU0011  團體輔導】、【PCUE104  輔導活動教材教法（教）】◎必須先修過【PCU0121  綜合活動學習領域概論】、【PCU0164  綜合活動學習領域教學與評量】其中一門,二 1-4,本部 教515,張雨霖,110,1,50,10,0,"",EU01,1. 除須滿足先修課程外，應至少修滿教育專業課程12學分(不含教學實習)，且專門課程之「領域內跨科課程」應各科至少修一門（107學年舊制）/應至少修2學分（108學年新制）。    2. 實地學習時數100小時。
699,PCUE011,0718,輔導活動教學實習（一）（教）,心輔系,選,2,◎必須先修過【PCU0130  諮商理論】、【PCU0131  諮商技術】、【PCU0011  團體輔導】、【PCUE104  輔導活動教材教法（教）】◎必須先修過【PCU0121  綜合活動學習領域概論】、【PCU0164  綜合活動學習領域教學與評量】其中一門,二 1-4,本部 教513,陳慧娟 王櫻芬,110,1,50,10,0,"",EU01,1. 除須滿足先修課程外，應至少修滿教育專業課程12學分(不含教學實習)，且專門課程之「領域內跨科課程」應各科至少修一門（107學年舊制）/應至少修2學分（108學年新制）。    2. 實地學習時數100小時。
700,PCC0029,0397,閱讀心理學專題研究,心輔碩,選,3,◎課程不開放上修,一 6-8,本部 教615,簡郁芩,110,1,50,10,0,"",EM01,""
701,PCC0037,0398,人際歷程心理治療,心輔碩,選,3,◎課程開放上修,四 6-8,本部 教511,未定,110,1,50,10,3,"",EM01,""
702,PCC0040,0399,生涯諮商研究,心輔碩,選,3,◎課程不開放上修,四 2-4,本部 教500,田秀蘭,110,1,50,10,0,"",EM01,""
703,PCC0071,0400,認知心理學實驗技術,心輔碩,選,3,◎必須先修過【PCU0005  實驗心理學】、【PCU0036  認知心理學】其中一門 ◎課程開放上修,一 6-8,本部 教500,許禕芳,110,1,50,10,0,"",EM01,""
704,PCC0081,0401,團體諮商理論與技術,心輔碩,選,3,◎必須先修過【PCM0089  諮商理論專題研究】◎必須先修過(也可以同時修)【PCM0072  諮商技術專題研究】◎必須先修過【PCU0011  團體輔導】、【PCU0103  團體動力學】其中一門 ◎課程不開放上修,二 2-4,本部 教602,姜兆眉,110,1,30,10,0,"",EM01,""
705,PCC0101,0402,數位學習心理學專題研究,心輔碩,選,3,◎課程不開放上修,二 2-4,本部 教621,劉子鍵,110,1,50,10,0,"",EM01,""
706,PCC0113,0403,人格心理學專題研究,心輔碩,選,3,◎課程不開放上修,三 6-8,本部 教500,未定,110,1,50,10,0,"",EM01,""
707,PCC0119,0404,個別智力測驗專題研討,心輔碩,選,3,◎課程不開放上修,三 6-8,本部 教615,未定,110,1,50,10,0,"",EM01,""
708,PCC0129,0405,婚姻與家族治療研究,心輔碩,選,3,◎必須先修過【PCM0089  諮商理論專題研究】、【PCM0072  諮商技術專題研究】 ◎課程不開放上修,二 6-8,本部 教600,張世華,110,1,15,10,0,"",EM01,""
709,PCC0135,0406,學習與教學心理學專題研討,心輔碩,選,3,◎課程不開放上修,三 8-10,本部 教517,未定,110,1,50,10,0,"",EM01,""
710,PCC8004,0407,測驗理論與評量科技專題研究,心輔碩,必,3,◎課程不開放上修,二 6-8,本部 教615,陳柏熹,110,1,50,10,3,"",EM01,""
711,PCC8011,0408,學術定向與專業成長,心輔碩,必,2,◎課程不開放上修,二 6-7,本部 教育學院第1會議室,王麗斐 劉子鍵,110,1,50,10,0,"",EM01,""
712,PCC8013,0409,融入靈性的心理諮商,心輔碩,選,3,◎課程不開放上修,五 6-8,本部 教600,未定,110,1,50,10,2,"",EM01,擬選修本課程者宜具備諮商先備知識；若無，選修本課程將會是一大挑戰。
713,PCC8021,0410,人類智慧專題研討,心輔碩,選,2,◎課程不開放上修,二 A-B,本部 教600,曾志朗,110,1,50,10,0,"",EM01,""
714,PCC8022,0411,質性研究法,心輔碩,選,2,◎課程不開放上修,二 9-10,本部 教500,未定,110,1,50,10,0,"",EM01,""
715,PCM0002,0412,行為科學方法論,心輔碩,必,3,◎課程不開放上修,三 2-4,本部 教511,林正昌,110,1,50,10,0,"",EM01,""
716,PCM0003,0413,教育心理學專題研究,心輔碩,必,2,◎課程不開放上修,二 9-10,本部 教511,陳慧娟 程景琳,110,1,50,10,0,"",EM01,""
717,PCM0089,0414,諮商理論專題研究,心輔碩,必,3,◎課程不開放上修,二 2-4,本部 教500,田秀蘭,110,1,50,10,0,"",EM01,""
718,PCM0085,0415,諮商心理實習（一）,心輔碩,必,3,◎必須先修過【PCM0089  諮商理論專題研究】、【PCM0072  諮商技術專題研究】 ◎課程不開放上修,一 B-C,"本部 教600, 三 2-4 本部 教600",王玉珍,110,1,50,10,0,"",EM01,""
719,PCM0087,0416,諮商專業實習（一）,心輔碩,選,3,◎必須先修過【PCM0089  諮商理論專題研究】、【PCM0072  諮商技術專題研究】、【PCC0096  諮商專業倫理】、【PCC0114  變態心理學專題研究】、【PCC0064  心理衡鑑專題研究】、【PCC0081  團體諮商理論與技術】、【PCM0085  諮商心理實習（一）】 ◎課程不開放上修,五 1-4,本部 教600,王櫻芬,110,1,50,10,0,"",EM01,""
720,PCD0067,0345,量尺化方法,心輔博,選,3,◎課程不開放上修,四 2-4,本部 教600,宋曜廷 未定,110,1,50,10,0,"",ED01,""
721,PCD1001,0346,當代教育心理學專題研討,心輔博,必,2,◎課程不開放上修,二 9-10,本部 教育學院第2會議室-大,陳學志,110,1,50,10,0,"",ED01,""
722,PCD1004,0347,進階諮商理論專題研究,心輔博,必,3,◎課程不開放上修,二 2-4,本部 教615,陳秀蓉,110,1,50,10,0,"",ED01,""
723,PCD2008,0348,進階諮商心理實習（一）,心輔博,必,2,◎必須先修過【PCM0089  諮商理論專題研究】 ◎課程不開放上修,二 8-A,本部 教621,王麗斐,110,1,50,10,0,"",ED01,""
724,PCD2006,0349,諮商督導研究與實習（一）,心輔博,必,2,◎必須先修過【PCD2008  進階諮商心理實習（一）】、【PCD2009  進階諮商心理實習（二）】 ◎課程不開放上修,四 9-A,本部 教615,陳秀蓉,110,1,50,10,0,"",ED01,""
725,SOU0126,0719,整合行銷傳播,社教系,選,2,◎限本系(含雙主修)修習 ◎必須先修過【SOU0122  社會文化市場調查】、【SOU0118  消費者行為】其中一門,二 3-4,本部 綜509國際會議廳,林鴻洲,110,1,50,10,0,"",EU02,""
726,SOU0129,0720,企業公民與傳播實作,社教系,選,2,◎限本系(含雙主修)修習,一 1-2,本部 誠401,蔡蕙如,110,1,50,10,0,"",EU02,此新開課程為大二選修
727,SOC9001,0721,社會教育專題實習（一）,社教系,選,3,◎限本系(含雙主修)修習,六 2-4,本部 教714,徐敏雄 未定,110,1,50,10,3,"",EU02,""
728,00UP001,0722,體育,社教系,必,1,◎限大一修習    允許重複修,三 6-7,本部 操場一,未定,110,1,50,10,0,"",EU02,""
729,SOU0007,0723,心理學,社教系,必,2,◎限本系(含雙主修)修習◎限大一修習,二 6-7,本部 誠208,郭郡羽,110,1,50,10,0,"",EU02,""
730,SOU0039,0724,學習資源利用,社教系,選,2,◎限本系(含雙主修)修習◎限大一修習,一 1-2,本部 教401,陳仲彥,110,1,50,10,0,"",EU02,""
731,SOU0042,0725,社會教育概論,社教系,必,3,◎限本系(含雙主修)修習◎限大一修習,五 7-9,本部 誠208,廖世璋,110,1,50,10,0,"",EU02,""
732,SOU0095,0726,文教採訪報導與應用,社教系,選,2,◎限本系(含雙主修)修習◎限大一修習,一 3-4,本部 教室自排,未定,110,1,50,10,2,"",EU02,""
733,SOU0116,0727,故事創作,社教系,選,2,◎限本系(含雙主修)修習◎限大一修習,一 8-9,本部 誠104,未定,110,1,50,4,0,"",EU02,""
734,SOU0010,0728,圖書館利用教育,社教系,選,2,◎限外系修習,四 1-2,本部 教401,陳仲彥,110,1,50,10,0,"",EU02,""
735,SOU0047,0729,社會科學研究法,社教系,必,3,◎限本系(含雙主修)修習,三 7-9,本部 誠208,王雅鈴,110,1,50,10,3,"",EU02,""
736,SOU0063,0730,非營利組織導論,社教系,必,2,◎限本系(含雙主修)修習,四 3-4,本部 誠302,鄭勝分,110,1,50,10,0,"",EU02,""
737,SOU0071,0731,網站設計與多媒體應用,社教系,選,2,◎限本系(含雙主修)修習,二 A-B,本部 誠208,未定,110,1,50,10,0,"",EU02,""
738,SOU0108,0732,跨文化溝通與傳播,社教系,選,2,◎限本系(含雙主修)修習,四 6-7,本部 誠208,黃靖惠,110,1,50,10,0,"",EU02,""
739,SOU5120,0733,博物館學概論,社教系,選,2,◎限本系(含雙主修)修習,二 8-9,本部 誠208,未定,110,1,50,10,2,"",EU02,""
740,SOU0048,0734,社會教育與文化機構經營,社教系,必,2,◎限本系(含雙主修)修習,二 3-4,本部 誠302,張德永,110,1,50,10,0,"",EU02,""
741,SOU0051,0735,社會教育方案規劃與實作,社教系,必,2,◎限本系(含雙主修)修習,五 3-4,本部 誠302,未定,110,1,50,10,0,"",EU02,""
742,SOU0092,0736,社會理論,社教系,選,2,◎限本系(含雙主修)修習,五 6-7,本部 教103,徐敏雄,110,1,50,10,3,"",EU02,""
743,SOU0111,0737,社會教育機構專題,社教系,選,2,◎限本系(含雙主修)修習,二 8-9,本部 誠109,未定,110,1,50,10,0,"",EU02,""
744,SOU0113,0738,社會企業導論,社教系,選,2,◎限本系(含雙主修)修習,四 6-7,本部 誠401,鄭勝分,110,1,50,10,0,"",EU02,""
745,SOU0118,0739,消費者行為,社教系,選,2,◎限本系(含雙主修)修習 ◎必須先修過【SOU0073  公民社會與傳播】、【SOU0121  社會行銷】其中一門,二 6-7,本部 教103,林鴻洲,110,1,50,10,0,"",EU02,""
746,SOU3120,0740,文獻學,社教系,選,2,◎限本系(含雙主修)修習,一 3-4,本部 正106,陳仲彥,110,1,50,10,0,"",EU02,""
747,SOU0109,0741,社會教育機構實習,社教系,必,2,◎限本系(含雙主修)修習,六 10-C,本部 教709,林鴻洲 王雅鈴,110,1,50,10,0,"",EU02,""
748,SOU0110,0742,文化機構實習,社教系,必,2,◎限本系(含雙主修)修習,六 10-C,本部 教710,鄭勝分 郭郡羽,110,1,50,10,0,"",EU02,""
749,SOM0134,0417,文化研究,社教碩,必,2,◎課程不開放上修,二 3-4,本部 教710,黃靖惠,110,1,50,10,0,"",EM02,""
750,SOM0135,0418,成人心理與老化研究,社教碩,必,2,◎課程不開放上修,五 6-7,本部 教710,郭郡羽,110,1,50,10,0,"",EM02,""
751,SOM0138,0419,行政管理學研究,社教碩,必,2,◎課程不開放上修,三 6-7,本部 教710,鄭勝分,110,1,50,10,0,"",EM02,""
752,SOM0143,0420,社會教育機構專業實習,社教碩,必,1,◎課程不開放上修,六 A-B,本部 教714,張德永,110,1,50,10,0,"",EM02,""
753,SOM0144,0421,文化機構專業實習,社教碩,必,1,◎課程不開放上修,六 A-B,本部 教705,蔡蕙如,110,1,50,10,0,"",EM02,""
754,SOM0145,0422,研究方法,社教碩,必,3,◎課程不開放上修,一 2-4,本部 教710,林鴻洲,110,1,50,10,0,"",EM02,""
755,SOC0113,0423,社會思想與社會教育研究,社教碩,選,3,◎課程開放上修,二 7-9,本部 教710,徐敏雄,110,1,50,10,3,"",EM02,""
756,SOC0127,0424,社教與文化機構財務管理研究,社教碩,選,3,◎課程不開放上修,五 2-4,本部 教710,董澤平,110,1,50,10,0,"",EM02,""
757,SOC0142,0425,博物館經營與展示研究,社教碩,選,3,◎課程不開放上修,四 A-C,本部 教710,廖世璋,110,1,50,10,0,"",EM02,""
758,SOC0144,0426,終身學習研究,社教碩,選,3,◎課程不開放上修,二 A-C,本部 教710,張德永,110,1,50,10,0,"",EM02,""
759,SOC0150,0427,文獻學研究,社教碩,選,3,◎課程不開放上修,三 2-4,本部 教710,陳仲彥,110,1,50,10,0,"",EM02,""
760,SOC8006,0428,成人教育與文化研究論文寫作及評析,社教碩,選,3,◎課程不開放上修,四 2-4,本部 教710,王雅鈴,110,1,50,10,3,"",EM02,""
761,SOD0106,0350,終身教育比較專題研究,社教博,選,3,◎課程不開放上修,一 7-9,本部 教709,楊國賜,110,1,50,10,0,"",ED02,""
762,SOD0108,0351,社會文化議題專題研究,社教博,選,3,◎課程不開放上修,一 3-5,本部 教709,黃靖惠,110,1,50,10,0,"",ED02,""
763,SOD0111,0352,高級社會科學研究方法專題,社教博,必,3,◎課程不開放上修,二 2-4,本部 教709,蔡蕙如,110,1,50,10,0,"",ED02,""
764,HEC9004,0743,醫療服務與健康保險,衛教系,選,2,"",三 10-A,本部 誠401,未定,110,1,50,10,1,"",EU05,""
765,HEC9005,0744,學校健康服務專題研討,衛教系,選,2,"",四 8-9,本部 正104,高松景,110,1,50,10,1,"",EU05,""
766,HEC9007,0745,應用統計學,衛教系,選,2,"",二 1-2,本部 正104,李子奇,110,1,50,10,1,"",EU05,""
767,HEC9008,0746,衛生法規與倫理,衛教系,必,2,◎限本系(含雙主修)、輔系修習,二 10-A,本部 誠109,未定,110,1,50,10,1,"",EU05,""
768,00UP001,0747,體育,衛教系,必,1,◎限大一修習    允許重複修,一 8-9,本部 操場一,詹俊成,110,1,50,10,0,"",EU05,""
769,HEU0045,0748,人口學概論,衛教系,選,2,◎限大一修習,四 3-4,本部 正103,未定,110,1,50,10,1,"",EU05,""
770,HEU0075,0749,安全教育,衛教系,選,2,◎限本系(含雙主修)、輔系修習◎限大一修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,二 6-7,本部 正103,王國川,110,1,50,10,1,"",EU05,""
771,HEU0112,0750,休閒生活,衛教系,選,2,◎限本系(含雙主修)、輔系修習◎限大一修習,二 8-9,本部 正105,胡益進,110,1,50,10,1,"",EU05,""
772,HEU0156,0751,健康促進與衛生教育導論,衛教系,必,2,◎限本系(含雙主修)、輔系修習◎限大一修習,一 6-7,本部 正103,張鳳琴,110,1,50,10,1,"",EU05,""
773,HEU0179,0752,人體解剖生理學,衛教系,必,3,◎限本系(含雙主修)、輔系修習◎限大一修習,一 2-4,本部 正103,未定,110,1,50,10,1,"",EU05,""
774,HEU0190,0753,醫務管理,衛教系,選,2,◎限本系(含雙主修)、輔系修習◎限大一修習,三 8-9,本部 正103,未定,110,1,50,10,1,"",EU05,""
775,HEU0009,0754,微生物學,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,二 8-9,公館 理圖003,賴韻如,110,1,50,10,1,"",EU05,""
776,HEU0017,0755,流行病學,衛教系,必,3,◎限本系(含雙主修)、輔系修習◎必須先修過【HEU0181  生物統計學】、【HEU0011  個人衛生】◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,四 2-4,本部 正104,連盈如,110,1,50,10,0,"",EU05,""
777,HEU0048,0756,社區營養,衛教系,選,2,"",一 6-7,本部 正104,未定,110,1,50,10,1,"",EU05,""
778,HEU0128,0757,校園安全與管理,衛教系,選,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,二 6-7,本部 正104,胡益進,110,1,50,10,1,"",EU05,""
779,HEU0131,0758,老人學概論,衛教系,選,2,◎限本系(含雙主修)、輔系修習,三 8-9,本部 正104,未定,110,1,50,10,1,"",EU05,""
780,HEU0144,0759,衛生與福利政策導論,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,一 3-4,本部 正104,張鳳琴,110,1,50,10,1,"",EU05,""
781,HEU0159,0760,健康促進與衛生教育研究法,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,二 3-4,本部 正104,李子奇,110,1,50,10,1,"",EU05,""
782,HEU0165,0761,高齡者健康促進,衛教系,選,2,◎限本系(含雙主修)、輔系修習,三 6-7,本部 正104,未定,110,1,50,10,1,"",EU05,""
783,HEU0014,0762,性教育,衛教系,必,3,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,三 8-10,本部 樸305,高松景,110,1,50,10,1,"",EU05,""
784,HEU0015,0763,環境衛生,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,四 6-7,本部 正104,曾治乾,110,1,50,10,1,"",EU05,""
785,HEU0016,0764,環境衛生實驗,衛教系,必,1,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,一 2-4,本部 誠504,曾治乾,110,1,30,1,0,"",EU05,""
786,HEU0016,0765,環境衛生實驗,衛教系,必,1,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,一 5-7,本部 誠504,曾治乾,110,1,30,1,0,"",EU05,""
787,HEU0022,0766,健康行為科學,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,四 3-4,本部 樸202,廖邕,110,1,50,10,1,"",EU05,""
788,HEU0023,0767,環境教育,衛教系,選,2,◎限本系(含雙主修)、輔系修習,一 8-9,本部 正104,未定,110,1,50,10,1,"",EU05,""
789,HEU0051,0768,藥物教育,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,三 6-7,本部 正103,張晏蓉,110,1,50,10,1,"",EU05,""
790,HEU0140,0769,社區健康營造實務,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,二 6-7,本部 樸202,張晏蓉,110,1,50,10,1,"",EU05,""
791,HEU0155,0770,健康促進與衛生教育計畫,衛教系,必,2,◎限本系(含雙主修)、輔系修習 ◎必須先修過(也可以同時修)【HEU0156  健康促進與衛生教育導論】,二 3-4,本部 正103,吳文琪,110,1,50,10,1,"",EU05,""
792,HEU0176,0771,健康教育（健康與護理）課程設計,衛教系,選,2,"",二 8-9,本部 正104,高松景,110,1,50,10,1,"",EU05,""
