cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
132,0HUG449,1052,國際貿易英文,通識,通,2,"",三 3-4,本部 誠105,田正利,110,1,48,0,0,"",GU,1.母語英語者不可修習本課程。2.本課程不開放授權碼。
133,0HUG450,1053,大腦中的語言：心理語言學入門,通識,通,2,"",三 6-7,本部 誠304,颯楊,110,1,50,10,0,是,GU,""
134,0HUG501,1054,日語（一）,通識,通,2,"",四 3-4,公館 理圖003,未定,110,1,50,5,0,"",GU,張怡倩。日語母語者不可修本課程。
135,0HUG501,1055,日語（一）,通識,通,2,"",四 6-7,公館 理圖003,未定,110,1,50,5,0,"",GU,張怡倩。日語母語者不可修本課程
136,0HUG501,1056,日語（一）,通識,通,2,"",一 6-7,本部 正202,未定,110,1,50,0,0,"",GU,許菁娟。(1)日語為母語者不可選課。(2)本課程不開放授權碼，亦不簽停修單。
137,0HUG501,1057,日語（一）,通識,通,2,"",三 8-9,本部 正105,未定,110,1,50,0,0,"",GU,許菁娟。(1)日語為母語者不可選課。(2)本課程不開放授權碼，亦不簽停修單。
138,0HUG501,1058,日語（一）,通識,通,2,"",五 6-7,本部 誠306,未定,110,1,50,5,0,"",GU,簡嘉菁
139,0HUG502,1059,法語（一）,通識,通,2,"",三 6-7,本部 正301,未定,110,1,50,5,0,"",GU,楊慧娟。學過二個月以上法語者，請勿選課。
140,0HUG502,1060,法語（一）,通識,通,2,"",三 8-9,本部 正301,未定,110,1,50,5,0,"",GU,楊慧娟。學過二個月以上法語者，請勿選課。
141,0HUG503,1061,西班牙語（一）,通識,通,2,"",三 3-4,本部 正203,未定,110,1,50,5,0,"",GU,張乃翠。學過三個月以上及母語人士不可選課
142,0HUG503,1062,西班牙語（一）,通識,通,2,"",三 6-7,本部 正203,未定,110,1,50,5,0,"",GU,張乃翠。學過三個月以上及母語人士不可選課
143,0HUG506,1063,韓語（一）,通識,通,2,"",一 6-7,公館 理圖002,未定,110,1,50,5,0,"",GU,賀中慧。授權碼發放以大四或延畢同學為優先
144,0HUG506,1064,韓語（一）,通識,通,2,"",一 8-9,公館 理圖002,未定,110,1,50,5,0,"",GU,賀中慧。授權碼發放以大四或延畢同學為優先
145,0HUG509,1065,泰語（一）,通識,通,2,"",四 6-7,本部 樸306,未定,110,1,50,5,0,"",GU,譚華德。母語人士不可選課
146,0HUG509,1066,泰語（一）,通識,通,2,"",四 8-9,本部 樸306,未定,110,1,50,5,0,"",GU,譚華德。母語人士不可選課
147,0HUG649,1067,越南語（一）,通識,通,2,"",三 A-B,本部 誠109,未定,110,1,50,10,0,"",GU,劉陳石草。母語人士不可選課
148,0HUG649,1068,越南語（一）,通識,通,2,"",四 A-B,本部 誠109,未定,110,1,50,10,0,"",GU,劉陳石草。母語人士不可選課
149,0HUG652,1069,日語（二）,通識,通,2,"",四 8-9,公館 理圖003,未定,110,1,50,5,0,"",GU,張怡倩。日語母語者不可修本課程
150,0HUG652,1070,日語（二）,通識,通,2,"",一 8-9,本部 正202,未定,110,1,50,0,0,"",GU,許菁娟。(1)日語為母語者不可選課。(2)本課程不開放授權碼，亦不簽停修單。
151,0HUG653,1071,印尼語（一）,通識,通,2,"",二 6-7,本部 正301,未定,110,1,50,5,0,"",GU,馮燕妮。印尼語為母語者，或印尼及馬來西亞國籍者不得修課。
152,0HUG653,1072,印尼語（一）,通識,通,2,"",二 8-9,本部 正301,未定,110,1,50,5,0,"",GU,馮燕妮。印尼語為母語者，或印尼及馬來西亞國籍者不得修課。
153,0HUG655,1073,馬來語,通識,通,2,"",二 A-B,本部 誠205,未定,110,1,50,0,0,"",GU,陳際宇。馬來西亞籍及印尼籍同學不可選修。本門課不開放任何身份與形式之旁聽。
154,0HUG655,1074,馬來語,通識,通,2,"",三 A-B,本部 誠205,未定,110,1,50,0,0,"",GU,陳際宇。馬來西亞籍及印尼籍同學不可選修。本門課不開放任何身份與形式之旁聽。
155,0NUG246,1075,生理心理學,通識,通,2,"",三 3-4,公館 Ｅ102,呂國棟,110,1,120,30,0,"",GU,""
156,0NUG253,1076,３Ｄ列印與創新應用,通識,通,2,"",三 3-4,本部 誠302,沈林琥,110,1,70,20,0,"",GU,""
157,0SUG236,1077,與樂齡共處,通識,通,2,"",三 3-4,本部 綜508會議室,林儷蓉,110,1,60,10,0,"",GU,""
158,0SUG514,1078,博物館探索,通識,通,2,"",三 6-7,本部 誠301,黃玫瑄,110,1,60,0,3,"",GU,""
159,0SUG520,1079,臺語電影導讀,通識,通,2,"",一 8-9,本部 誠208,未定,110,1,50,10,0,"",GU,劉定綱
160,0SUG523,1080,通識教育講座,通識,通,2,"",三 3-4,本部 誠301,黃玫瑄,110,1,72,0,0,"",GU,""
161,0SUG526,1081,大學入門,通識,通,2,◎限大一修習◎限教育系選修,三 3-4,本部 教310,陳伊琳,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
162,0SUG526,1082,大學入門,通識,通,2,◎限大一修習◎限心輔系選修,三 6-7,本部 教513,林旻沛,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
163,0SUG526,1083,大學入門,通識,通,2,◎限大一修習◎限社教系選修,三 8-9,本部 誠102,徐敏雄,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
164,0SUG526,1084,大學入門,通識,通,2,◎限大一修習◎限衛教系選修,三 3-4,本部 誠102,廖邕,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
165,0SUG526,1085,大學入門,通識,通,2,◎限大一修習◎限人發系選修,三 3-4,本部 誠109,吳志文,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
166,0SUG526,1086,大學入門,通識,通,2,◎限大一修習◎限公領系選修,四 8-9,本部 教201演講廳,黃信豪,110,1,90,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
167,0SUG526,1087,大學入門,通識,通,2,◎限大一修習◎限特教系選修,三 3-4,本部 特112,王曉嵐,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
168,0SUG526,1088,大學入門,通識,通,2,◎限大一修習◎限學習科學學位學程選修,三 3-4,本部 誠204,林宗進,110,1,50,0,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
169,0SUG526,1089,大學入門,通識,通,2,◎限大一修習◎限教院不分系選修,三 3-4,本部 教室自排,林建福 胡翠君,110,1,50,5,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
170,0SUG528,1090,臺灣教育,通識,通,2,"",三 3-4,本部 誠104,葉怡芬 王超 鄭怡庭 劉宇挺,110,1,50,4,0,是,GU,全英語授課
171,0SUG528,1091,臺灣教育,通識,通,2,"",五 3-4,本部 誠104,林子斌 張千惠 楊承山 蔡芷芬,110,1,50,4,0,是,GU,全英語授課
172,0SUG531,1092,大學入門,通識,通,2,◎限大一修習◎限國文系選修,四 6-7,本部 正301,許華峰,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
173,0SUG531,1093,大學入門,通識,通,2,◎限大一修習◎限英語系選修,三 3-4,本部 誠207,張瓊惠,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
174,0SUG531,1094,大學入門,通識,通,2,◎限大一修習◎限歷史系選修,三 3-4,本部 誠307,陳昭揚,110,1,50,10,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
175,0SUG531,1095,大學入門,通識,通,2,◎限大一修習◎限地理系選修,三 3-4,本部 誠107,李宗祐,110,1,50,5,0,"",GU,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
